 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
398,Raul Neto\netora01,PG,29,WAS,37,0,20.4,3.1,6.9,0.443,0.4,1.8,0.231,2.6,5.1,0.516,0.473,1.2,1.6,0.759,0.2,1.9,2.1,2.6,0.7,0,1.3,1.6,7.7
399,Malik Newman\newmama01,PG,24,CLE,1,0,8,3,5,0.6,0,1,0,3,4,0.75,0.6,2,2,1,0,1,1,1,0,0,1,0,8
400,Georges Niang\niangge01,PF,28,PHI,38,5,22.8,3.5,8,0.439,2,5,0.395,1.5,3,0.513,0.563,0.9,1,0.868,0.3,2.3,2.6,1.3,0.5,0.2,0.7,2.6,9.8
401,Daishen Nix\nixda01,SG,19,HOU,8,0,8.4,1.6,2.5,0.65,0.4,0.9,0.429,1.3,1.6,0.769,0.725,0.1,0.4,0.333,0.1,1.1,1.3,1.3,0.9,0,1.1,0.4,3.8
402,Zeke Nnaji\nnajize01,PF,21,DEN,25,0,15.3,2.2,4.6,0.466,0.9,2,0.46,1.2,2.6,0.47,0.565,1,1.6,0.6,1.2,2.3,3.6,0.3,0.3,0.3,0.3,1.7,6.2
403,Nerlens Noel\noelne01,C,27,NYK,18,10,23,1.3,2.6,0.511,0,0.2,0,1.3,2.4,0.545,0.511,0.8,1,0.833,2.2,3.7,5.8,0.8,1.1,1.5,0.8,2.7,3.5
404,Jaylen Nowell\nowelja01,SG,22,MIN,27,0,13.5,3,6.3,0.473,0.7,2.1,0.345,2.2,4.1,0.541,0.533,0.9,1.2,0.719,0.3,1.6,1.9,2,0.6,0.2,0.5,1,7.5
405,Frank Ntilikina\ntilila01,PG,23,DAL,33,5,13.5,1.6,4.4,0.375,0.8,2.2,0.356,0.8,2.2,0.394,0.465,0.6,0.6,1,0.2,1.3,1.5,1.4,0.7,0.1,0.7,1.1,4.6
406,Jusuf Nurkić\nurkiju01,C,27,POR,39,39,26.6,5.2,9.7,0.541,0.2,1,0.205,5,8.7,0.58,0.552,3,4.3,0.702,2.4,7.8,10.3,2.7,1.2,0.5,2.3,3.4,13.7
407,David Nwaba\nwabada01,SF,29,HOU,33,4,14.2,2,4.3,0.475,0.3,1.1,0.286,1.7,3.2,0.538,0.511,1,1.4,0.702,0.9,3,3.9,0.8,0.7,0.5,0.5,1.2,5.4
408,Jordan Nwora\nworajo01,SF,23,MIL,35,9,20.7,3.4,8.2,0.416,1.6,4.1,0.379,1.8,4,0.454,0.512,0.4,0.5,0.737,0.7,3.4,4.1,1.1,0.5,0.4,1.1,1.1,8.8
409,Royce O'Neale\onealro01,SF,28,UTA,39,39,31.5,2.7,5.5,0.488,1.4,3.6,0.403,1.2,1.9,0.649,0.62,0.6,0.8,0.71,0.8,4.2,5,2.5,1.4,0.5,0.9,2.5,7.3
410,Semi Ojeleye\ojelese01,PF,27,MIL,17,0,17.1,0.9,3.9,0.224,0.5,2.3,0.231,0.4,1.6,0.214,0.291,0.5,0.6,0.818,1.5,1.9,3.4,0.3,0.3,0.3,0.3,1.5,2.8
411,Chuma Okeke\okekech01,PF,23,ORL,33,9,23.2,2.7,7.6,0.349,1.1,4.3,0.246,1.6,3.3,0.482,0.419,0.8,1,0.875,0.7,3.9,4.5,1.3,1.4,0.4,0.9,1.4,7.2
412,Josh Okogie\okogijo01,SG,23,MIN,27,6,13.2,0.9,2.4,0.348,0.3,1.1,0.258,0.6,1.3,0.429,0.409,0.7,1.1,0.613,0.9,1.2,2.1,0.7,0.6,0.3,0.6,1.3,2.7
413,Onyeka Okongwu\okongon01,C,21,ATL,10,3,22.6,3.7,4.6,0.804,0,0,,3.7,4.6,0.804,0.804,1.5,2.3,0.652,2.2,3.9,6.1,1,0.7,1.4,1.3,3.7,8.9
414,Isaac Okoro\okorois01,SF,21,CLE,29,23,27.9,3.2,7.1,0.444,0.9,2.9,0.301,2.3,4.3,0.54,0.505,1.7,2.3,0.716,1.1,2.3,3.4,1.8,0.8,0.3,1.1,2.5,8.9
415,KZ Okpala\okpalkz01,PF,22,MIA,21,0,11.6,1.4,3.3,0.435,0.4,1.2,0.346,1,2,0.488,0.5,0.4,0.5,0.727,0.5,1.4,2,0.7,0.2,0.3,0.2,1.2,3.7
416,Cameron Oliver\oliveca01,SF,25,ATL,2,0,21.5,5,7.5,0.667,0.5,1.5,0.333,4.5,6,0.75,0.7,1,1.5,0.667,1,2,3,1.5,0.5,0.5,0,2.5,11.5
417,Kelly Olynyk\olynyke01,C,30,DET,10,1,23,4.5,9.8,0.459,1.4,4.1,0.341,3.1,5.7,0.544,0.531,2.1,3.5,0.6,1.3,4,5.3,2.3,1.4,0.7,1.5,2.7,12.5
418,Eugene Omoruyi\omorueu01,SF,24,DAL,4,0,4.5,0.5,1.3,0.4,0.3,0.5,0.5,0.3,0.8,0.333,0.5,0.5,1,0.5,0.5,1.3,1.8,0.5,0,0,0,0.5,1.8
419,Miye Oni\onimi01,SG,24,UTA,16,0,2.8,0.1,0.6,0.222,0.1,0.5,0.125,0.1,0.1,1,0.278,0,0.1,0,0.1,0.4,0.4,0.3,0,0,0.1,0.4,0.3
420,Cedi Osman\osmande01,SF,26,CLE,32,0,22.8,3.9,8.9,0.44,2.2,5.6,0.383,1.8,3.3,0.538,0.562,1.2,1.8,0.661,0.4,2.1,2.5,1.7,1,0.3,0.8,1.8,11.1
421,Daniel Oturu\oturuda01,C,22,TOR,3,0,9,1,2,0.5,0,0.3,0,1,1.7,0.6,0.5,1,1.7,0.6,0.3,1.3,1.7,0,0,0.7,0,0.3,3
422,Kelly Oubre Jr.\oubreke01,SF,26,CHO,40,10,28.2,6.1,13.3,0.458,2.9,7.8,0.373,3.2,5.5,0.58,0.568,1.6,2.3,0.674,1,3,3.9,1.2,1.1,0.4,1.1,2.5,16.6
423,Jaysean Paige\paigeja01,PG,27,DET,1,0,7,0,3,0,0,2,0,0,1,0,0,0,0,,0,1,1,1,0,0,1,2,0
424,Trayvon Palmer\palmetr01,SG,27,DET,1,0,17,0,1,0,0,0,,0,1,0,0,0,0,,0,2,2,0,0,0,1,2,0
425,Kevin Pangos\pangoke01,PG,29,CLE,19,3,8.4,0.8,2.4,0.333,0.3,1.4,0.231,0.5,1,0.474,0.4,0.2,0.2,0.75,0.1,0.5,0.6,1.6,0.1,0,0.4,0.5,2.1
426,Jabari Parker\parkeja01,PF,26,BOS,12,0,9.3,1.5,3.2,0.474,0.7,1.3,0.5,0.8,1.8,0.455,0.579,0.8,0.8,1,0.4,1.9,2.3,0.5,0.3,0.1,0.7,1.1,4.4
427,Eric Paschall\pascher01,PF,25,UTA,29,1,12.1,1.7,3.5,0.48,0.6,1.8,0.308,1.1,1.7,0.66,0.559,1,1.3,0.718,0.7,1.3,1.9,0.6,0.1,0.1,0.5,0.8,4.9
428,Chris Paul\paulch01,PG,36,PHO,41,41,32.3,5.2,11,0.475,1,3,0.322,4.3,8.1,0.53,0.518,2.5,3,0.837,0.3,4,4.3,10,2,0.3,2.3,2.1,14
429,Cameron Payne\payneca01,PG,27,PHO,36,0,20.4,3.9,9.8,0.395,1.1,3.3,0.325,2.8,6.4,0.431,0.45,1.4,1.6,0.864,0.4,2.4,2.8,3.7,0.6,0.3,1.9,1.9,10.2
